,IHDI: Income Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted HDI value,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted education index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted income index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted life expectancy index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in education,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in income,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in life expectancy,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.710,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15.1,,14.0,,15.1,
Samoa,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.717,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,14.8,,13.4,,14.8,
San Marino,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Sao Tome and Principe,..,,..,,..,,..,,50.8,,..,,..,,..,,..,,..,,..,,..,,50.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.348,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.365,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.231,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.502,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,22.7,,19.1,,22.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,44.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,34.4,,28.8,,34.4,
Saudi Arabia,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.753,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.7,,11.5,,12.7,
Senegal,..,,..,,..,,41.4,,..,,39.2,,..,,..,,..,,..,,..,,..,,39.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.304,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.211,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.309,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.430,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,47.3,,45.1,,47.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,21.1,e,23.9,,21.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,37.4,,30.7,,37.4,
Serbia,..,,..,,..,,..,,..,,..,,..,,..,,28.2,,..,,..,,..,,28.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.694,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.712,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.595,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.788,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11.1,,9.9,,11.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.2,h,10.3,,12.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9.0,,8.3,,9.0,
Seychelles,..,,..,,..,,..,,..,,..,,..,,19.0,,..,,..,,..,,..,,19.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Sierra Leone,..,,..,,62.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,42.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.196,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.160,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.197,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.240,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,48.2,,47.4,,48.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,22.2,e,31.0,,22.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,44.5,,45.3,,44.5,
Singapore,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.936,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.8,,2.9,,3.8,
Slovakia,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.787,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.861,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.686,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.825,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.7,,1.6,,1.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11.7,f,9.6,,11.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.5,,5.7,,6.5,
Slovenia,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,31.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.837,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.904,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.723,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.898,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.0,,3.1,,4.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.2,f,8.5,,12.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.3,,4.1,,4.3,
Solomon Islands,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.599,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,30.2,,..,,30.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,25.2,,20.7,,25.2,
Somalia,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.260,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,50.6,,47.1,,50.6,
South Africa,..,,..,,..,,56.6,,57.8,,..,,..,,..,,..,,..,,..,,..,,57.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.558,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.370,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,20.8,,20.8,,20.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,40.9,h,..,,40.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,30.2,,28.4,,30.2,
Spain,..,,..,,..,,..,,34.7,,..,,..,,..,,..,,..,,..,,..,,34.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.799,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.826,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.666,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.929,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.7,,5.5,,5.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,18.5,f,16.7,,18.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.4,,4.1,,4.4,
Sri Lanka,..,,32.5,,..,,..,,..,,..,,..,,40.3,,..,,..,,..,,..,,40.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.579,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.558,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.442,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.785,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17.9,,17.9,,17.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,20.8,e,20.8,,20.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.3,,9.4,,12.3,
Sudan*,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.438,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,38.5,,33.0,,38.5,
Suriname,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,52.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.518,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.508,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.403,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.678,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,20.1,,20.1,,20.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,34.9,e,34.9,,34.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16.7,,15.0,,16.7,
Swaziland,..,,..,,..,,60.7,,..,,..,,..,,..,,..,,..,,..,,..,,50.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.338,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.406,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.322,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.295,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,38.3,,29.8,,38.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,32.3,e,40.9,,32.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,36.4,,35.0,,36.4,
Sweden,..,,..,,..,,..,,25.0,,..,,..,,..,,..,,..,,..,,..,,25.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.851,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.869,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.756,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.937,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.6,,3.9,,3.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.0,f,10.3,,13.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.7,,3.3,,3.7,
Switzerland,..,,..,,..,,..,,33.7,,..,,..,,..,,..,,..,,..,,..,,33.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.840,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.854,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.735,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.943,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.0,,2.0,,2.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,14.3,f,14.3,,14.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.4,,4.1,,4.4,
Syrian Arab Republic,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,35.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.503,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.366,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.439,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.793,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,31.5,,31.5,,31.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,18.3,e,18.3,,18.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11.1,,10.0,,11.1,
Tajikistan,..,,..,,..,,..,,..,,..,,..,,29.4,,..,,..,,..,,..,,29.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.500,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.638,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.360,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.546,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9.4,,9.4,,9.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15.3,e,15.3,,15.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,31.0,,27.2,,31.0,
Tanzania (United Republic of),..,,..,,..,,..,,..,,..,,..,,37.6,,..,,..,,..,,..,,37.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.332,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.305,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.294,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.407,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,28.7,,32.8,,28.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17.6,e,20.6,,17.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,37.5,,32.4,,37.5,
Thailand,..,,..,,..,,..,,..,,..,,..,,..,,..,,53.6,,..,,..,,53.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.537,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.490,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.411,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.768,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,18.0,,18.0,,18.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,34.0,e,34.0,,34.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9.5,,10.1,,9.5,
The former Yugoslav Republic of Macedonia,..,,..,,..,,..,,..,,..,,..,,..,,44.2,,..,,..,,..,,44.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.609,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.574,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.502,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.784,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17.5,,17.5,,17.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,21.8,h,21.8,,21.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10.4,,9.4,,10.4,
Timor-Leste,..,,..,,..,,..,,..,,..,,..,,31.9,,..,,..,,..,,..,,31.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.332,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.195,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.401,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.468,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,44.3,,47.4,,44.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,19.2,e,17.8,,19.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,34.3,,30.2,,34.3,
Togo,..,,..,,..,,..,,..,,..,,34.4,,..,,..,,..,,..,,..,,34.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.289,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.277,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.238,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.367,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,41.5,,41.5,,41.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,20.0,e,20.0,,20.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,35.4,,37.2,,35.4,
Tonga,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.712,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.1,,..,,5.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,14.5,,13.8,,14.5,
Trinidad and Tobago,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.644,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.665,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.610,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.659,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.6,,6.6,,6.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,21.9,h,21.9,,21.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17.4,,16.6,,17.4,
Tunisia,..,,43.4,,40.2,,41.7,,40.8,,..,,..,,..,,..,,..,,..,,..,,40.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.523,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.396,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.480,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.751,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,38.7,,38.7,,38.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,21.8,g,21.8,,21.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.7,,12.6,,12.7,
Turkey,..,,..,,..,,..,,..,,..,,..,,..,,39.7,,..,,..,,..,,39.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.542,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.423,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.506,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.742,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,27.4,,27.4,,27.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,26.5,h,26.5,,26.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16.5,,12.8,,16.5,
Turkmenistan,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.520,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10.2,,..,,10.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,38.7,e,..,,38.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,27.5,,26.7,,27.5,
Tuvalu,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Uganda,..,,..,,..,,..,,..,,..,,..,,..,,..,,44.3,,..,,..,,44.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.296,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.322,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.246,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.328,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,28.2,,32.2,,28.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,26.4,e,29.1,,26.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,40.7,,39.1,,40.7,
Ukraine,..,,..,,..,,..,,..,,..,,..,,..,,27.5,,..,,..,,..,,27.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.662,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.806,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.526,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.684,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.8,,6.1,,2.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10.4,f,10.9,,10.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11.0,,10.5,,11.0,
United Arab Emirates,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.836,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.4,,6.3,,7.4,
United Kingdom,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.791,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.797,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.688,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.903,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.1,,2.2,,2.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,21.0,f,17.3,,21.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.9,,4.8,,4.9,
