,"Population, female (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, male (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, total both sexes (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, urban (%)",,,,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,a,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,a,2011,a
Country,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),
South Africa,"14,614.21",,"16,587.77",,"18,588.93",,"21,003.51",,"22,736.12",,"24,222.67",,"24,477.14",,"24,715.91",,"24,936.14",,"25,134.33",,"25,308.52",,"25,457.61",,"14,462.98",,"16,395.62",,"18,204.98",,"20,398.89",,"22,024.26",,"23,570.12",,"23,853.78",,"24,126.56",,"24,383.22",,"24,617.18",,"24,824.30",,"25,002.37",,"29,077.2",,"32,983.4",,"36,793.9",,"41,402.4",,"44,760.4",,"47,792.8",,"48,330.9",,"48,842.5",,"49,319.4",,"49,751.5",,"50,132.8",,"50,460.0",,48.4,,49.4,,52.0,,54.5,,56.9,,59.3,,59.8,,60.2,,60.7,,61.2,,61.7,,62.2,
Spain,"19,104.01",,"19,602.65",,"19,847.85",,"20,131.15",,"20,565.97",,"22,031.86",,"22,330.65",,"22,614.82",,"22,878.75",,"23,117.70",,"23,328.67",,"23,507.44",,"18,391.31",,"18,873.50",,"19,041.31",,"19,295.69",,"19,722.49",,"21,363.58",,"21,687.24",,"21,989.57",,"22,267.51",,"22,520.42",,"22,748.32",,"22,947.46",,"37,495.3",,"38,476.1",,"38,889.2",,"39,426.8",,"40,288.5",,"43,395.4",,"44,017.9",,"44,604.4",,"45,146.3",,"45,638.1",,"46,077.0",,"46,454.9",,72.8,,74.2,,75.4,,75.9,,76.3,,76.7,,76.8,,77.0,,77.1,,77.2,,77.4,,77.6,
Sri Lanka,"7,387.55",,"7,975.76",,"8,584.55",,"9,074.93",,"9,402.01",,"10,010.69",,"10,129.84",,"10,243.39",,"10,352.00",,"10,457.42",,"10,560.84",,"10,661.96",,"7,695.22",,"8,234.70",,"8,752.49",,"9,154.57",,"9,343.08",,"9,831.85",,"9,932.23",,"10,028.88",,"10,121.80",,"10,211.72",,"10,299.11",,"10,383.44",,"15,082.8",,"16,210.5",,"17,337.0",,"18,229.5",,"18,745.1",,"19,842.5",,"20,062.1",,"20,272.3",,"20,473.8",,"20,669.1",,"20,859.9",,"21,045.4",,21.6,,20.1,,18.6,,17.2,,15.8,,14.7,,14.6,,14.5,,14.4,,14.3,,14.3,,14.3,
Sudan*,"10,010.66",,"11,727.09",,"13,183.62",,"14,985.63",,"16,986.65",,"19,062.51",,"19,535.88",,"20,033.24",,"20,549.43",,"21,076.70",,"21,609.21",,"22,145.13",,"10,060.21",,"11,815.69",,"13,310.55",,"15,155.52",,"17,201.08",,"19,347.81",,"19,832.84",,"20,340.40",,"20,865.72",,"21,401.61",,"21,942.73",,"22,487.28",,"20,070.9",,"23,542.8",,"26,494.2",,"30,141.1",,"34,187.7",,"38,410.3",,"39,368.7",,"40,373.6",,"41,415.2",,"42,478.3",,"43,551.9",,"44,632.4",,20.0,,22.4,,26.6,,30.5,,33.4,,36.5,,37.2,,37.9,,38.6,,39.4,,40.1,,40.8,
Suriname,181.01,,184.82,,200.26,,215.12,,230.94,,248.65,,251.61,,254.30,,256.79,,259.19,,261.59,,264.01,,184.74,,191.28,,206.63,,220.80,,235.90,,250.64,,253.30,,255.84,,258.28,,260.67,,263.05,,265.41,,365.7,,376.1,,406.9,,435.9,,466.8,,499.3,,504.9,,510.1,,515.1,,519.9,,524.6,,529.4,,55.0,,57.5,,60.0,,62.5,,64.9,,67.2,,67.6,,68.1,,68.5,,68.9,,69.4,,69.8,
Swaziland,316.83,,372.41,,455.90,,500.14,,548.77,,564.83,,570.54,,577.75,,586.03,,594.64,,603.06,,611.20,,286.55,,333.19,,407.05,,463.45,,515.07,,540.08,,547.06,,555.25,,564.32,,573.70,,583.00,,592.13,,603.4,,705.6,,862.9,,963.6,,"1,063.8",,"1,104.9",,"1,117.6",,"1,133.0",,"1,150.3",,"1,168.3",,"1,186.1",,"1,203.3",,17.8,,21.8,,22.9,,23.0,,22.6,,21.9,,21.8,,21.6,,21.5,,21.4,,21.4,,21.3,
Sweden,"4,192.80",,"4,226.56",,"4,330.79",,"4,465.78",,"4,481.49",,"4,552.95",,"4,579.86",,"4,611.15",,"4,644.76",,"4,677.91",,"4,708.56",,"4,735.89",,"4,117.67",,"4,123.84",,"4,228.04",,"4,361.17",,"4,378.66",,"4,476.40",,"4,510.85",,"4,550.23",,"4,592.11",,"4,633.20",,"4,671.12",,"4,704.86",,"8,310.5",,"8,350.4",,"8,558.8",,"8,826.9",,"8,860.2",,"9,029.3",,"9,090.7",,"9,161.4",,"9,236.9",,"9,311.1",,"9,379.7",,"9,440.7",,83.1,,83.1,,83.1,,83.8,,84.0,,84.3,,84.4,,84.4,,84.5,,84.6,,84.7,,84.8,
Switzerland,"3,237.14",,"3,310.26",,"3,416.15",,"3,590.46",,"3,666.18",,"3,786.37",,"3,810.81",,"3,834.65",,"3,857.36",,"3,878.39",,"3,897.37",,"3,913.98",,"3,066.21",,"3,145.12",,"3,257.59",,"3,428.24",,"3,501.73",,"3,628.64",,"3,657.54",,"3,686.97",,"3,715.84",,"3,742.82",,"3,766.95",,"3,787.71",,"6,303.3",,"6,455.4",,"6,673.7",,"7,018.7",,"7,167.9",,"7,415.0",,"7,468.4",,"7,521.6",,"7,573.2",,"7,621.2",,"7,664.3",,"7,701.7",,57.1,,65.2,,73.2,,73.6,,73.3,,73.3,,73.3,,73.4,,73.5,,73.5,,73.6,,73.7,
Syrian Arab Republic,"4,435.36",,"5,262.02",,"6,123.27",,"7,030.15",,"7,921.69",,"9,081.47",,"9,298.81",,"9,505.98",,"9,703.93",,"9,894.88",,"10,080.75",,"10,261.10",,"4,471.18",,"5,314.57",,"6,200.84",,"7,140.98",,"8,066.85",,"9,402.65",,"9,621.92",,"9,815.32",,"9,990.33",,"10,158.86",,"10,329.86",,"10,504.94",,"8,906.5",,"10,576.6",,"12,324.1",,"14,171.1",,"15,988.5",,"18,484.1",,"18,920.7",,"19,321.3",,"19,694.3",,"20,053.7",,"20,410.6",,"20,766.0",,46.7,,47.9,,48.9,,50.1,,51.9,,53.8,,54.2,,54.5,,54.9,,55.3,,55.7,,56.2,
Tajikistan,"1,997.69",,"2,298.66",,"2,669.03",,"2,887.17",,"3,079.41",,"3,256.09",,"3,298.18",,"3,343.44",,"3,391.55",,"3,441.86",,"3,493.86",,"3,547.49",,"1,955.01",,"2,268.13",,"2,634.12",,"2,888.23",,"3,093.40",,"3,197.15",,"3,226.46",,"3,260.98",,"3,299.87",,"3,341.53",,"3,384.77",,"3,429.47",,"3,952.7",,"4,566.8",,"5,303.2",,"5,775.4",,"6,172.8",,"6,453.2",,"6,524.6",,"6,604.4",,"6,691.4",,"6,783.4",,"6,878.6",,"6,977.0",,34.3,,33.2,,31.7,,28.9,,26.5,,26.4,,26.3,,26.3,,26.3,,26.3,,26.3,,26.4,
Tanzania (United Republic of),"9,461.74",,"11,044.04",,"12,862.48",,"15,096.42",,"17,122.24",,"19,479.22",,"20,017.17",,"20,581.22",,"21,172.85",,"21,793.43",,"22,443.88",,"23,124.93",,"9,224.05",,"10,804.25",,"12,616.50",,"14,847.31",,"16,915.92",,"19,351.81",,"19,906.44",,"20,486.97",,"21,094.81",,"21,731.31",,"22,397.35",,"23,093.55",,"18,685.8",,"21,848.3",,"25,479.0",,"29,943.7",,"34,038.2",,"38,831.0",,"39,923.6",,"41,068.2",,"42,267.7",,"43,524.7",,"44,841.2",,"46,218.5",,14.6,,16.8,,18.9,,20.5,,22.3,,24.2,,24.6,,25.0,,25.5,,25.9,,26.4,,26.9,
Thailand,"23,638.39",,"26,165.04",,"28,730.46",,"29,956.48",,"32,078.29",,"33,883.81",,"34,177.89",,"34,447.29",,"34,695.70",,"34,928.53",,"35,149.89",,"35,361.09",,"23,844.25",,"26,163.62",,"28,341.60",,"29,693.68",,"31,076.74",,"32,814.67",,"33,098.50",,"33,349.16",,"33,572.28",,"33,777.59",,"33,972.35",,"34,157.47",,"47,482.6",,"52,328.7",,"57,072.1",,"59,650.2",,"63,155.0",,"66,698.5",,"67,276.4",,"67,796.5",,"68,268.0",,"68,706.1",,"69,122.2",,"69,518.6",,26.8,,28.1,,29.4,,30.3,,31.1,,32.3,,32.6,,32.9,,33.2,,33.6,,34.0,,34.4,
The former Yugoslav Republic of Macedonia,885.67,,908.55,,950.95,,980.69,,"1,002.46",,"1,016.94",,"1,019.49",,"1,021.96",,"1,024.32",,"1,026.48",,"1,028.40",,"1,030.05",,909.16,,919.60,,958.40,,982.80,,"1,006.63",,"1,021.17",,"1,023.61",,"1,025.96",,"1,028.20",,"1,030.29",,"1,032.17",,"1,033.85",,"1,794.8",,"1,828.1",,"1,909.4",,"1,963.5",,"2,009.1",,"2,038.1",,"2,043.1",,"2,047.9",,"2,052.5",,"2,056.8",,"2,060.6",,"2,063.9",,53.5,,55.7,,57.8,,59.7,,59.4,,59.1,,59.1,,59.1,,59.1,,59.2,,59.3,,59.4,
Timor-Leste,285.02,,324.27,,361.17,,415.62,,404.92,,494.71,,508.74,,519.77,,529.18,,539.13,,551.19,,565.69,,295.69,,335.58,,381.98,,437.20,,425.17,,515.65,,529.83,,541.00,,550.57,,560.76,,573.16,,588.14,,580.7,,659.8,,743.1,,852.8,,830.1,,"1,010.4",,"1,038.6",,"1,060.8",,"1,079.7",,"1,099.9",,"1,124.4",,"1,153.8",,16.5,,18.6,,20.8,,22.5,,24.3,,26.1,,26.5,,26.9,,27.3,,27.7,,28.1,,28.6,
Togo,"1,350.99",,"1,600.00",,"1,854.00",,"2,065.57",,"2,422.22",,"2,730.95",,"2,792.18",,"2,853.95",,"2,916.31",,"2,979.21",,"3,042.61",,"3,106.58",,"1,315.93",,"1,561.33",,"1,811.51",,"2,019.92",,"2,371.28",,"2,677.10",,"2,737.73",,"2,798.86",,"2,860.52",,"2,922.65",,"2,985.19",,"3,048.23",,"2,666.9",,"3,161.3",,"3,665.5",,"4,085.5",,"4,793.5",,"5,408.0",,"5,529.9",,"5,652.8",,"5,776.8",,"5,901.9",,"6,027.8",,"6,154.8",,24.7,,27.2,,30.1,,33.2,,36.5,,39.9,,40.6,,41.3,,42.0,,42.7,,43.4,,44.1,
Tonga,45.63,,46.47,,46.90,,47.28,,48.13,,50.32,,50.72,,51.08,,51.41,,51.69,,51.95,,52.16,,47.37,,47.48,,48.25,,48.62,,49.81,,50.61,,50.87,,51.17,,51.50,,51.83,,52.11,,52.35,,93.0,,93.9,,95.2,,95.9,,97.9,,100.9,,101.6,,102.3,,102.9,,103.5,,104.1,,104.5,,21.2,,22.3,,22.7,,22.9,,23.0,,23.2,,23.2,,23.2,,23.3,,23.3,,23.4,,23.5,
Trinidad and Tobago,541.15,,591.26,,618.04,,643.96,,662.06,,676.23,,679.19,,682.25,,685.35,,688.42,,691.38,,694.22,,537.05,,581.48,,597.46,,617.49,,629.99,,639.16,,641.23,,643.42,,645.69,,647.93,,650.09,,652.13,,"1,078.2",,"1,172.7",,"1,215.5",,"1,261.4",,"1,292.1",,"1,315.4",,"1,320.4",,"1,325.7",,"1,331.0",,"1,336.3",,"1,341.5",,"1,346.4",,10.9,,9.6,,8.5,,9.6,,10.8,,12.2,,12.5,,12.9,,13.2,,13.5,,13.9,,14.2,
Tunisia,"3,190.16",,"3,630.37",,"4,078.32",,"4,442.87",,"4,705.55",,"4,947.87",,"5,002.96",,"5,061.02",,"5,121.01",,"5,181.35",,"5,240.87",,"5,299.18",,"3,266.94",,"3,699.90",,"4,136.79",,"4,492.66",,"4,750.57",,"4,964.25",,"5,014.87",,"5,069.35",,"5,126.32",,"5,183.74",,"5,240.07",,"5,294.88",,"6,457.1",,"7,330.3",,"8,215.1",,"8,935.5",,"9,456.1",,"9,912.1",,"10,017.8",,"10,130.4",,"10,247.3",,"10,365.1",,"10,480.9",,"10,594.1",,50.6,,53.8,,57.9,,61.5,,63.4,,65.3,,65.7,,66.1,,66.5,,66.9,,67.3,,67.7,
Turkey,"21,949.68",,"24,661.08",,"27,053.51",,"29,452.19",,"31,843.02",,"34,133.22",,"34,599.86",,"35,070.57",,"35,541.83",,"36,008.61",,"36,467.08",,"36,915.96",,"22,155.54",,"24,738.55",,"27,076.76",,"29,412.46",,"31,784.84",,"34,009.97",,"34,463.68",,"34,922.19",,"35,381.90",,"35,837.60",,"36,285.25",,"36,723.63",,"44,105.2",,"49,399.6",,"54,130.3",,"58,864.6",,"63,627.9",,"68,143.2",,"69,063.5",,"69,992.8",,"70,923.7",,"71,846.2",,"72,752.3",,"73,639.6",,43.8,,52.4,,59.2,,62.1,,64.7,,67.3,,67.8,,68.2,,68.7,,69.2,,69.6,,70.1,
Turkmenistan,"1,454.93",,"1,642.21",,"1,859.40",,"2,120.28",,"2,279.27",,"2,406.04",,"2,434.10",,"2,463.78",,"2,494.84",,"2,526.83",,"2,559.36",,"2,592.42",,"1,406.07",,"1,587.29",,"1,808.60",,"2,067.73",,"2,222.15",,"2,341.80",,"2,367.75",,"2,395.06",,"2,423.55",,"2,452.85",,"2,482.63",,"2,512.88",,"2,861.0",,"3,229.5",,"3,668.0",,"4,188.0",,"4,501.4",,"4,747.8",,"4,801.8",,"4,858.8",,"4,918.4",,"4,979.7",,"5,042.0",,"5,105.3",,47.1,,46.0,,45.1,,44.8,,45.8,,47.3,,47.7,,48.2,,48.6,,49.0,,49.5,,50.0,
Tuvalu,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8.1,,8.6,,9.0,,9.2,,9.4,,9.7,,9.7,,9.8,,9.8,,9.8,,9.8,,9.8,,29.8,,34.3,,40.7,,44.0,,46.0,,48.1,,48.5,,49.0,,49.5,,49.9,,50.4,,50.9,
Uganda,"6,360.76",,"7,435.30",,"8,901.10",,"10,489.56",,"12,185.56",,"14,262.84",,"14,724.54",,"15,201.50",,"15,693.47",,"16,200.14",,"16,721.22",,"17,256.58",,"6,301.37",,"7,365.81",,"8,798.62",,"10,341.51",,"12,027.56",,"14,168.37",,"14,645.71",,"15,138.40",,"15,645.93",,"16,167.77",,"16,703.46",,"17,252.63",,"12,662.1",,"14,801.1",,"17,699.7",,"20,831.1",,"24,213.1",,"28,431.2",,"29,370.3",,"30,339.9",,"31,339.4",,"32,367.9",,"33,424.7",,"34,509.2",,7.5,,9.2,,11.1,,11.7,,12.1,,12.5,,12.7,,12.8,,13.0,,13.1,,13.3,,13.5,
Ukraine,"27,179.03",,"27,540.33",,"27,777.55",,"27,432.32",,"26,255.40",,"25,262.47",,"25,098.67",,"24,946.89",,"24,804.56",,"24,668.09",,"24,534.64",,"24,403.16",,"22,864.52",,"23,409.04",,"23,867.36",,"23,689.40",,"22,636.40",,"21,661.46",,"21,493.13",,"21,335.27",,"21,187.03",,"21,046.92",,"20,913.69",,"20,787.02",,"50,043.6",,"50,949.4",,"51,644.9",,"51,121.7",,"48,891.8",,"46,923.9",,"46,591.8",,"46,282.2",,"45,991.6",,"45,715.0",,"45,448.3",,"45,190.2",,61.7,,64.7,,66.8,,67.0,,67.1,,67.8,,67.8,,67.9,,68.2,,68.5,,68.8,,69.1,
United Arab Emirates,309.27,,474.24,,623.47,,787.89,,986.14,,"1,284.55",,"1,455.21",,"1,668.98",,"1,900.77",,"2,115.48",,"2,288.10",,"2,409.24",,706.96,,874.76,,"1,185.17",,"1,560.65",,"2,047.36",,"2,784.80",,"3,207.51",,"3,736.56",,"4,305.86",,"4,823.34",,"5,223.59",,"5,481.69",,"1,016.2",,"1,349.0",,"1,808.6",,"2,348.5",,"3,033.5",,"4,069.3",,"4,662.7",,"5,405.5",,"6,206.6",,"6,938.8",,"7,511.7",,"7,890.9",,80.7,,79.8,,79.1,,78.4,,80.3,,82.3,,82.6,,83.0,,83.4,,83.7,,84.1,,84.4,
United Kingdom,"28,912.59",,"29,047.86",,"29,410.90",,"29,806.72",,"30,184.79",,"30,723.30",,"30,866.62",,"31,022.49",,"31,186.87",,"31,354.12",,"31,520.04",,"31,683.07",,"27,390.43",,"27,469.05",,"27,803.57",,"28,190.49",,"28,689.33",,"29,479.43",,"29,671.52",,"29,873.61",,"30,083.45",,"30,298.20",,"30,515.53",,"30,734.36",,"56,303.0",,"56,516.9",,"57,214.5",,"57,997.2",,"58,874.1",,"60,202.7",,"60,538.1",,"60,896.1",,"61,270.3",,"61,652.3",,"62,035.6",,"62,417.4",,78.5,,78.4,,78.1,,78.4,,78.7,,79.0,,79.1,,79.3,,79.4,,79.5,,79.6,,79.8,
United States,"118,158.83",,"123,847.31",,"129,881.14",,"136,085.77",,"143,881.56",,"150,651.44",,"151,977.62",,"153,306.26",,"154,632.34",,"155,947.06",,"157,244.39",,"158,523.57",,"111,666.17",,"117,272.44",,"123,457.95",,"130,237.95",,"138,614.75",,"146,168.86",,"147,586.85",,"148,978.30",,"150,356.73",,"151,739.67",,"153,139.56",,"154,561.81",,"229,825.0",,"241,119.8",,"253,339.1",,"266,323.7",,"282,496.3",,"296,820.3",,"299,564.5",,"302,284.6",,"304,989.1",,"307,686.7",,"310,383.9",,"313,085.4",,73.7,,74.5,,75.3,,77.3,,79.1,,80.8,,81.1,,81.4,,81.7,,82.0,,82.3,,82.6,
Uruguay,"1,484.89",,"1,542.56",,"1,601.08",,"1,662.03",,"1,712.87",,"1,718.95",,"1,721.88",,"1,726.20",,"1,731.53",,"1,737.24",,"1,742.87",,"1,748.34",,"1,429.79",,"1,468.21",,"1,508.04",,"1,561.37",,"1,606.20",,"1,603.58",,"1,605.57",,"1,609.33",,"1,614.44",,"1,620.15",,"1,625.92",,"1,631.67",,"2,914.7",,"3,010.8",,"3,109.1",,"3,223.4",,"3,319.1",,"3,322.5",,"3,327.5",,"3,335.5",,"3,346.0",,"3,357.4",,"3,368.8",,"3,380.0",,85.4,,87.2,,89.0,,90.5,,91.3,,91.9,,92.0,,92.2,,92.3,,92.4,,92.5,,92.6,
Uzbekistan,"8,108.24",,"9,206.20",,"10,374.47",,"11,549.65",,"12,459.36",,"13,047.55",,"13,182.43",,"13,329.42",,"13,485.37",,"13,644.85",,"13,803.96",,"13,961.72",,"7,843.66",,"8,967.94",,"10,140.78",,"11,369.71",,"12,316.25",,"12,899.87",,"13,031.30",,"13,174.41",,"13,326.61",,"13,483.21",,"13,640.74",,"13,798.55",,"15,951.9",,"18,174.1",,"20,515.2",,"22,919.4",,"24,775.6",,"25,947.4",,"26,213.7",,"26,503.8",,"26,812.0",,"27,128.1",,"27,444.7",,"27,760.3",,40.8,,40.7,,40.2,,38.4,,37.4,,36.7,,36.5,,36.4,,36.3,,36.3,,36.2,,36.3,
Vanuatu,54.59,,62.35,,71.23,,81.94,,90.42,,103.42,,106.20,,109.00,,111.81,,114.66,,117.57,,120.53,,61.05,,67.68,,75.41,,86.32,,94.65,,107.75,,110.56,,113.38,,116.23,,119.13,,122.08,,125.09,,115.6,,130.0,,146.6,,168.3,,185.1,,211.2,,216.8,,222.4,,228.0,,233.8,,239.7,,245.6,,14.7,,16.7,,18.7,,20.2,,21.7,,23.5,,23.8,,24.3,,24.7,,25.1,,25.6,,26.0,
Venezuela (Bolivarian Republic of),"7,428.93",,"8,549.06",,"9,758.42",,"10,934.65",,"12,097.50",,"13,265.92",,"13,500.87",,"13,736.05",,"13,971.09",,"14,205.46",,"14,438.74",,"14,670.70",,"7,607.35",,"8,720.26",,"9,926.76",,"11,100.26",,"12,250.80",,"13,398.20",,"13,627.86",,"13,857.38",,"14,086.40",,"14,314.45",,"14,541.12",,"14,766.19",,"15,036.3",,"17,269.3",,"19,685.2",,"22,034.9",,"24,348.3",,"26,664.1",,"27,128.7",,"27,593.4",,"28,057.5",,"28,519.9",,"28,979.9",,"29,436.9",,79.2,,81.9,,84.3,,87.3,,89.9,,91.9,,92.2,,92.6,,92.8,,93.1,,93.4,,93.6,
Viet Nam,"27,990.47",,"31,079.11",,"34,397.45",,"37,763.18",,"40,065.07",,"42,193.35",,"42,630.39",,"43,073.99",,"43,523.16",,"43,976.00",,"44,430.55",,"44,886.50",,"26,032.68",,"29,228.19",,"32,704.14",,"36,244.89",,"38,692.94",,"40,967.80",,"41,445.19",,"41,933.46",,"42,428.75",,"42,925.18",,"43,417.90",,"43,905.50",,"54,023.2",,"60,307.3",,"67,101.6",,"74,008.1",,"78,758.0",,"83,161.1",,"84,075.6",,"85,007.4",,"85,951.9",,"86,901.2",,"87,848.4",,"88,792.0",,19.2,,19.6,,20.3,,22.2,,24.5,,27.3,,27.9,,28.5,,29.1,,29.8,,30.4,,31.0,
Yemen,"4,038.80",,"4,928.48",,"6,001.81",,"7,541.74",,"8,817.36",,"10,263.85",,"10,580.24",,"10,906.39",,"11,242.88",,"11,590.29",,"11,948.92",,"12,318.96",,"3,906.38",,"4,829.74",,"5,946.40",,"7,606.44",,"8,905.83",,"10,384.80",,"10,707.84",,"11,040.60",,"11,383.72",,"11,737.93",,"12,103.59",,"12,480.92",,"7,945.2",,"9,758.2",,"11,948.2",,"15,148.2",,"17,723.2",,"20,648.6",,"21,288.1",,"21,947.0",,"22,626.6",,"23,328.2",,"24,052.5",,"24,799.9",,16.5,,18.4,,20.9,,23.8,,26.3,,28.9,,29.5,,30.1,,30.6,,31.2,,31.8,,32.4,
Zambia,"2,904.19",,"3,411.69",,"3,951.41",,"4,479.50",,"5,112.39",,"5,727.94",,"5,869.23",,"6,019.55",,"6,179.49",,"6,349.38",,"6,529.52",,"6,720.32",,"2,870.98",,"3,373.52",,"3,908.65",,"4,439.95",,"5,089.18",,"5,734.42",,"5,880.87",,"6,035.84",,"6,200.13",,"6,374.36",,"6,559.06",,"6,754.64",,"5,775.2",,"6,785.2",,"7,860.1",,"8,919.5",,"10,201.6",,"11,462.4",,"11,750.1",,"12,055.4",,"12,379.6",,"12,723.7",,"13,088.6",,"13,475.0",,39.8,,39.7,,39.4,,37.1,,34.8,,35.0,,35.1,,35.2,,35.4,,35.5,,35.7,,35.9,
Zimbabwe,"3,664.67",,"4,448.15",,"5,257.26",,"5,880.99",,"6,294.93",,"6,343.84",,"6,330.42",,"6,314.34",,"6,307.21",,"6,323.81",,"6,374.26",,"6,463.19",,"3,624.79",,"4,407.13",,"5,211.94",,"5,803.71",,"6,214.55",,"6,226.85",,"6,199.24",,"6,166.90",,"6,144.33",,"6,150.18",,"6,197.20",,"6,291.19",,"7,289.5",,"8,855.3",,"10,469.2",,"11,684.7",,"12,509.5",,"12,570.7",,"12,529.7",,"12,481.2",,"12,451.5",,"12,474.0",,"12,571.5",,"12,754.4",,22.4,,25.4,,29.0,,31.7,,33.8,,35.9,,36.3,,36.8,,37.3,,37.8,,38.3,,38.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very high human development,"470,672.50",,"486,804.23",,"502,758.97",,"519,427.29",,"535,048.86",,"551,550.29",,"555,118.58",,"558,772.61",,"562,419.40",,"565,933.56",,"569,226.06",,"572,258.45",,"449,306.83",,"464,876.21",,"481,053.35",,"498,408.37",,"514,482.86",,"532,410.07",,"536,575.53",,"540,938.43",,"545,348.60",,"549,601.51",,"553,550.71",,"557,135.20",,"920,041.9",,"951,755.0",,"983,894.1",,"1,017,931.3",,"1,049,629.2",,"1,084,072.9",,"1,091,809.0",,"1,099,827.7",,"1,107,886.1",,"1,115,654.5",,"1,122,897.7",,"1,129,516.1",,70.3,,71.4,,72.9,,74.2,,75.4,,76.8,,77.0,,77.3,,77.6,,77.8,,78.1,,78.3,
High human development,"345,980.61",,"377,236.86",,"407,418.45",,"429,768.74",,"450,868.12",,"470,477.51",,"474,533.87",,"478,659.78",,"482,820.48",,"486,963.98",,"491,049.76",,"495,064.98",,"331,375.68",,"362,592.40",,"393,468.64",,"415,400.39",,"434,617.28",,"454,433.18",,"458,361.74",,"462,259.69",,"466,127.01",,"469,966.62",,"473,778.17",,"477,557.32",,"677,620.0",,"740,091.1",,"801,147.1",,"845,444.3",,"885,776.7",,"925,216.1",,"933,203.4",,"941,229.4",,"949,259.4",,"957,244.5",,"965,143.8",,"972,940.1",,61.2,,64.6,,67.5,,69.6,,71.5,,73.5,,73.9,,74.2,,74.6,,75.0,,75.3,,75.7,
Medium human development,"1,085,993.94",,"1,197,358.84",,"1,318,490.03",,"1,428,798.97",,"1,529,903.75",,"1,621,670.58",,"1,639,631.77",,"1,657,541.70",,"1,675,398.85",,"1,693,186.23",,"1,710,883.50",,"1,728,495.91",,"1,144,560.74",,"1,260,398.31",,"1,387,949.12",,"1,505,574.83",,"1,612,017.56",,"1,707,739.92",,"1,726,239.90",,"1,744,596.84",,"1,762,832.51",,"1,780,962.57",,"1,798,988.64",,"1,816,925.60",,"2,230,609.4",,"2,457,819.8",,"2,706,511.0",,"2,934,451.0",,"3,142,005.3",,"3,329,502.5",,"3,365,965.2",,"3,402,233.6",,"3,438,327.9",,"3,474,246.8",,"3,509,971.7",,"3,545,522.6",,23.7,,26.4,,29.0,,31.8,,34.9,,38.3,,38.8,,39.3,,39.8,,40.3,,40.8,,41.3,
Low human development,"286,667.50",,"329,066.11",,"377,986.29",,"433,091.80",,"489,597.67",,"549,261.24",,"561,633.34",,"574,172.03",,"586,939.25",,"600,015.21",,"613,454.48",,"627,279.68",,"290,359.48",,"333,508.71",,"382,645.12",,"438,090.71",,"495,301.73",,"555,123.05",,"567,349.07",,"579,679.97",,"592,229.68",,"605,149.12",,"618,542.29",,"632,451.76",,"577,027.0",,"662,574.8",,"760,631.4",,"871,182.5",,"984,899.4",,"1,104,384.3",,"1,128,982.4",,"1,153,852.0",,"1,179,168.9",,"1,205,164.3",,"1,231,996.8",,"1,259,731.4",,20.8,,22.8,,24.9,,26.8,,28.8,,31.0,,31.4,,31.9,,32.4,,32.9,,33.4,,33.9,
Arab States (RB),"84,332.66",,"97,762.94",,"111,136.06",,"124,586.10",,"138,622.83",,"153,870.98",,"157,323.42",,"160,926.07",,"164,625.64",,"168,346.81",,"172,034.28",,"175,667.18",,"86,519.14",,"100,671.69",,"114,954.29",,"129,510.36",,"143,208.68",,"160,665.54",,"164,664.58",,"168,815.40",,"173,028.53",,"177,185.60",,"181,202.30",,"185,038.46",,"170,851.8",,"198,434.6",,"226,090.3",,"254,096.5",,"281,831.5",,"314,536.5",,"321,988.0",,"329,741.5",,"337,654.2",,"345,532.4",,"353,236.6",,"360,705.6",,44.4,,47.3,,49.7,,51.4,,52.7,,54.3,,54.7,,55.1,,55.5,,55.9,,56.3,,56.7,
