,HDI: GDP per capita in PPP terms (constant 2005 international $),,,,,,,,,,,,,,,,,,,,,,HDI: GNI per capita in PPP terms (constant 2005 international $),,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,
Country,,,,,,,,,,,,,,,,,,,,,,,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),
Greece,"17,211",,"16,821",,"17,490",,"17,780",,"20,518",,"24,640",,"25,652",,"26,693",,"27,123",,"26,482",,..,,"17,679",,"16,954",,"17,828",,"18,220",,"20,561",,"24,220",,"25,088",,"25,903",,"26,225",,"25,740",,"23,747",
Grenada,"3,204",,"3,521",,"5,074",,"5,096",,"7,251",,"7,985",,"7,806",,"8,133",,"8,177",,"7,593",,..,,..,,..,,"4,799",,"4,857",,"6,685",,"7,580",,"7,410",,"7,562",,"7,632",,"7,013",,"6,982",
Guatemala,"3,884",,"3,244",,"3,336",,"3,663",,"3,962",,"4,064",,"4,178",,"4,333",,"4,367",,"4,286",,..,,"3,868",,"3,178",,"3,250",,"3,631",,"3,918",,"4,010",,"4,134",,"4,291",,"4,300",,"4,139",,"4,167",
Guinea,..,,..,,808,,804,,883,,952,,956,,952,,977,,951,,..,,..,,..,,770,,794,,867,,860,,855,,871,,873,,856,,863,
Guinea-Bissau,932,,"1,146",,"1,238",,"1,269",,"1,124",,973,,972,,954,,966,,973,,..,,903,,"1,297",,"1,170",,"1,193",,"1,087",,950,,953,,955,,947,,962,,994,
Guyana,"2,061",,"1,657",,"1,513",,"2,105",,"2,416",,"2,478",,"2,604",,"2,786",,"2,845",,"2,942",,..,,"1,901",,"1,393",,"1,038",,"1,904",,"2,245",,"2,420",,"2,680",,"2,840",,"2,860",,"2,961",,"3,192",
Haiti,..,,..,,..,,"1,104",,"1,137",,"1,016",,"1,023",,"1,040",,"1,032",,"1,045",,..,,"1,828",,"1,554",,"1,459",,"1,068",,"1,086",,959,,981,,"1,093",,"1,085",,"1,099",,"1,123",
Honduras,"2,814",,"2,630",,"2,652",,"2,767",,"2,882",,"3,270",,"3,416",,"3,560",,"3,628",,"3,488",,..,,"2,661",,"2,499",,"2,429",,"2,578",,"2,805",,"3,120",,"3,254",,"3,454",,"3,523",,"3,365",,"3,443",
"Hong Kong, China (SAR)","13,945",,"17,073",,"23,697",,"28,316",,"29,785",,"35,678",,"37,938",,"39,958",,"40,520",,"39,255",,..,,"13,790",,"16,755",,"23,051",,"28,563",,"29,978",,"35,720",,"38,639",,"41,054",,"42,535",,"40,441",,"44,805",
Hungary,"10,626",,"11,734",,"12,282",,"10,944",,"13,583",,"16,955",,"17,661",,"17,865",,"18,004",,"16,896",,..,,"10,464",,"11,267",,"11,768",,"10,535",,"13,017",,"16,060",,"16,652",,"16,610",,"16,581",,"15,886",,"16,581",
Iceland,"21,863",,"23,185",,"25,635",,"24,694",,"29,892",,"34,921",,"35,681",,"36,860",,"36,527",,"33,980",,..,,"21,440",,"22,269",,"24,774",,"24,002",,"29,065",,"33,660",,"33,383",,"34,831",,"30,890",,"30,321",,"29,354",
India,895,,"1,034",,"1,244",,"1,452",,"1,769",,"2,300",,"2,479",,"2,686",,"2,781",,"2,993",,..,,896,,"1,043",,"1,229",,"1,453",,"1,747",,"2,280",,"2,463",,"2,688",,"2,753",,"2,985",,"3,468",
Indonesia,"1,361",,"1,616",,"2,087",,"2,823",,"2,727",,"3,217",,"3,352",,"3,521",,"3,689",,"3,813",,..,,"1,318",,"1,539",,"2,007",,"2,751",,"2,478",,"2,840",,"2,938",,"3,104",,"3,331",,"3,384",,"3,716",
Iran (Islamic Republic of),"7,087",,"7,131",,"6,254",,"6,820",,"7,667",,"9,314",,"9,721",,"10,346",,"10,446",,"10,496",,..,,"7,113",,"7,119",,"6,248",,"6,791",,"7,678",,"9,140",,"9,569",,"10,230",,"10,364",,"10,406",,"10,164",
Iraq,..,,..,,..,,..,,"4,468",,"2,897",,"3,000",,"2,970",,"3,171",,"3,222",,..,,..,,..,,..,,..,,..,,"2,480",,"2,754",,"2,788",,"3,048",,"3,021",,"3,177",
Ireland,"12,759",,"13,902",,"17,666",,"21,525",,"32,304",,"38,578",,"39,674",,"41,136",,"39,268",,"36,278",,..,,"12,698",,"12,786",,"16,207",,"19,417",,"27,836",,"33,080",,"34,526",,"35,219",,"33,671",,"29,450",,"29,322",
Israel,"15,028",,"15,924",,"17,863",,"20,563",,"23,173",,"23,390",,"24,290",,"25,130",,"25,740",,"25,474",,..,,"14,502",,"15,301",,"17,435",,"18,564",,"21,169",,"23,150",,"24,225",,"25,249",,"25,241",,"24,871",,"25,849",
Italy,"18,837",,"20,420",,"23,775",,"25,269",,"27,714",,"28,144",,"28,554",,"28,766",,"28,170",,"26,578",,..,,"18,876",,"20,297",,"23,397",,"24,885",,"27,510",,"28,060",,"28,505",,"28,591",,"27,736",,"26,120",,"26,484",
Jamaica,"5,107",,"4,809",,"5,933",,"6,939",,"6,533",,"7,027",,"7,183",,"7,252",,"7,182",,"6,931",,..,,"4,675",,"4,172",,"5,374",,"6,628",,"6,275",,"6,600",,"6,802",,"6,762",,"6,917",,"6,549",,"6,487",
Japan,"17,570",,"20,949",,"26,129",,"27,593",,"28,613",,"30,310",,"30,933",,"31,660",,"31,295",,"29,692",,..,,"17,568",,"21,034",,"26,300",,"27,810",,"28,980",,"31,030",,"31,814",,"32,727",,"32,336",,"30,633",,"32,295",
Jordan,"3,931",,"4,180",,"3,293",,"3,507",,"3,591",,"4,334",,"4,569",,"4,840",,"5,086",,"5,082",,..,,"3,980",,"4,116",,"3,121",,"3,371",,"3,640",,"4,450",,"4,707",,"5,021",,"5,246",,"5,210",,"5,300",
Kazakhstan,..,,..,,"7,089",,"4,499",,"5,406",,"8,699",,"9,529",,"10,259",,"10,469",,"10,452",,..,,..,,..,,..,,"4,464",,"5,030",,"7,830",,"8,407",,"8,966",,"8,926",,"9,356",,"10,585",
Kenya,"1,375",,"1,289",,"1,422",,"1,311",,"1,276",,"1,339",,"1,386",,"1,445",,"1,429",,"1,428",,..,,"1,340",,"1,249",,"1,370",,"1,261",,"1,266",,"1,340",,"1,383",,"1,453",,"1,434",,"1,424",,"1,492",
