,Carbon Dioxide Emissions per capita,,,,,,,,,,,,,,,,,,,,,,Carbon dioxide per capita emission (growth 1970-2008),,,,,,,,,,,,,,,,,,,,,,Change in forest area,,,,,,,,,,,,,,,,,,,,,,Ecological footprint of consumption,,,,,,,,,,,,,,,,,,,,,,Endangered species,,,,,,,,,,,,,,,,,,,,,,Environmental performance index (EPI),,,,,,,,,,,,,,,,,,,,,,Forest area,,,,,,,,,,,,,,,,,,,,,,Forest area (% of total land area),,,,,,,,,,,,,,,,,,,,,,Fresh water withdrawals,,,,,,,,,,,,,,,,,,,,,,Greenhouse gases per capita,,,,,,,,,,,,,,,,,,,,,,Impact of natural disasters: number of deaths (average per year/million),,,,,,,,,,,,,,,,,,,,,,Impact of natural disasters: population affected (average per year/million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,..,,..,,0.3,,0.5,,0.6,,0.5,,0.1,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.7,,-0.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-7.5,,..,,..,,..,,..,,..,,..,,..,,..,,1.2,,1.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,23,,..,,..,,..,,..,,..,,..,,..,,..,,..,,49.2,,..,,..,,..,,"13,407",,"13,122",,"12,838",,"12,781",,"12,724",,"12,667",,..,,..,,..,,..,,..,,23.1,,22.6,,22.1,,22.0,,21.9,,21.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,..,,..,,0.3,,0.3,,0.3,,0.3,,0.1,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.9,,-0.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-15.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,51.4,,..,,..,,..,,"3,732",,"3,567",,"3,402",,"3,369",,"3,336",,"3,303",,..,,..,,..,,..,,..,,39.7,,37.9,,36.2,,35.8,,35.5,,35.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,..,,..,,21.6,,19.9,,26.2,,26.4,,7.0,,7.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11.2,,4.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-7.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,18,,..,,..,,..,,..,,..,,..,,..,,..,,..,,65.0,,..,,..,,..,,"21,984",,"21,591",,"20,890",,"20,803",,"20,716",,"20,630",,..,,..,,..,,..,,..,,66.9,,65.7,,63.6,,63.3,,63.1,,62.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,2.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,..,,..,,4.1,,6.7,,8.4,,10.6,,2.9,,3.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10,,..,,..,,..,,..,,..,,..,,..,,..,,..,,65.9,,..,,..,,..,,1,,1,,1,,1,,1,,1,,..,,..,,..,,..,,..,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,..,,..,,0.2,,0.2,,0.2,,0.2,,0.0,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-10.1,,..,,..,,..,,..,,..,,..,,..,,..,,1.9,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,39.4,,..,,..,,..,,"13,677",,"13,281",,"12,885",,"12,806",,"12,727",,"12,648",,..,,..,,..,,..,,..,,11.2,,10.9,,10.6,,10.5,,10.4,,10.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,..,,..,,28.8,,20.3,,23.6,,23.1,,6.7,,6.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.5,,3.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,76.3,,..,,..,,..,,0,,0,,0,,0,,0,,0,,..,,..,,..,,..,,..,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,..,,..,,4.7,,5.4,,5.5,,5.8,,1.9,,1.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13,,13,,13,,13,,13,,13,,..,,..,,..,,..,,..,,70.2,,70.2,,70.2,,70.2,,70.2,,70.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,..,,..,,4.9,,1.7,,2.0,,2.0,,0.6,,0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.9,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-39.3,,..,,..,,..,,..,,..,,..,,..,,..,,3.1,,2.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,33.7,,..,,..,,..,,366,,317,,267,,262,,257,,252,,..,,..,,..,,..,,..,,0.4,,0.3,,0.3,,0.3,,0.2,,0.2,f,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,..,,..,,6.0,,8.6,,10.1,,11.3,,3.1,,3.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10.7,,4.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-9.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,18,,..,,..,,..,,..,,..,,..,,..,,..,,..,,80.6,,..,,..,,..,,39,,39,,35,,35,,35,,35,,..,,..,,..,,..,,..,,19.1,,19.1,,17.2,,17.2,,17.2,,17.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,26.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,..,,..,,15.1,,14.1,,15.1,,15.2,,4.4,,4.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.6,,1.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-7.4,,..,,..,,..,,..,,..,,..,,..,,..,,3.2,,3.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17,,..,,..,,..,,..,,..,,..,,..,,..,,..,,67.3,,..,,..,,..,,"68,521",,"66,751",,"65,578",,"65,423",,"65,268",,"65,112",,..,,..,,..,,..,,..,,35.2,,34.3,,33.7,,33.7,,33.6,,33.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17.3,,..,,..,,..,,17.5,,..,,..,,0.0,,0.0,,1.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia (Federated States of),..,,..,,..,,..,,..,,..,,0.6,,0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,64,,64,,64,,64,,64,,64,,..,,..,,..,,..,,..,,91.0,,91.2,,91.4,,91.5,,91.5,,91.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,43,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova (Republic of),..,,..,,9.4,,5.8,,7.7,,7.5,,1.3,,1.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.7,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,58.8,,..,,..,,..,,322,,324,,363,,368,,372,,377,,..,,..,,..,,..,,..,,9.8,,9.9,,11.0,,11.2,,11.3,,11.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,..,,..,,12.2,,11.1,,12.5,,13.3,,4.0,,4.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.1,,1.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-11.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,42.8,,..,,..,,..,,"12,127",,"11,717",,"11,308",,"11,226",,"11,144",,"11,062",,..,,..,,..,,..,,..,,7.8,,7.5,,7.3,,7.2,,7.2,,7.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,3.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,..,,..,,..,,..,,..,,..,,..,,3.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,543,,543,,543,,..,,..,,..,,..,,..,,..,,..,,..,,40.4,,40.4,,40.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,..,,..,,4.1,,4.3,,5.7,,5.4,,1.5,,1.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.8,,3.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.2,,..,,..,,..,,..,,..,,..,,..,,..,,1.3,,1.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16,,..,,..,,..,,..,,..,,..,,..,,..,,..,,65.6,,..,,..,,..,,"5,033",,"5,017",,"5,081",,"5,091",,"5,101",,"5,111",,..,,..,,..,,..,,..,,11.3,,11.2,,11.4,,11.4,,11.4,,11.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,..,,..,,0.3,,0.3,,0.3,,0.4,,0.1,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-1.8,,-2.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-9.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,51.2,,..,,..,,..,,"42,283",,"41,188",,"40,079",,"39,868",,"39,656",,"39,445",,..,,..,,..,,..,,..,,53.8,,52.4,,51.0,,50.7,,50.4,,50.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,..,,..,,0.6,,0.7,,0.8,,0.8,,0.2,,0.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.5,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-17.4,,..,,..,,..,,..,,..,,..,,..,,..,,1.0,,1.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,51.3,,..,,..,,..,,"37,043",,"34,868",,"33,321",,"33,011",,"32,702",,"32,392",,..,,..,,..,,..,,..,,56.7,,53.4,,51.0,,50.5,,50.0,,49.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,2.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,290,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,..,,..,,3.9,,3.4,,4.9,,5.1,,1.5,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-15.1,,..,,..,,..,,..,,..,,..,,..,,..,,3.0,,2.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,59.3,,..,,..,,..,,"8,397",,"8,032",,"7,661",,"7,587",,"7,513",,"7,438",,..,,..,,..,,..,,..,,10.2,,9.8,,9.3,,9.2,,9.1,,9.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,4.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru,..,,..,,51.3,,49.6,,51.9,,51.8,,10.8,,14.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,14,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,0,,0,,0,,0,,0,,..,,..,,..,,..,,..,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,..,,..,,0.3,,0.5,,0.4,,0.4,,0.1,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8.1,,4.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-24.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,68.2,,..,,..,,..,,"4,359",,"3,900",,"3,636",,"3,636",,"3,636",,"3,636",,..,,..,,..,,..,,..,,30.5,,27.2,,25.4,,25.4,,25.4,,25.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,..,,..,,41.9,,38.9,,39.3,,37.7,,10.6,,10.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.1,,-0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.8,,..,,..,,..,,..,,..,,..,,..,,..,,4.6,,6.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,66.4,,..,,..,,..,,353,,360,,365,,365,,365,,365,,..,,..,,..,,..,,..,,10.4,,10.7,,10.8,,10.8,,10.8,,10.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.6,,..,,..,,..,,11.7,,..,,..,,0.0,,0.0,,2.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,..,,..,,25.5,,29.6,,26.9,,27.0,,7.7,,7.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.5,,1.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.3,,..,,..,,..,,..,,..,,..,,..,,..,,7.6,,4.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,25,,..,,..,,..,,..,,..,,..,,..,,..,,..,,73.4,,..,,..,,..,,"7,993",,"8,266",,"8,311",,"8,303",,"8,294",,"8,286",,..,,..,,..,,..,,..,,30.4,,31.4,,31.6,,31.5,,31.5,,31.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,10.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,..,,..,,2.2,,2.8,,2.8,,2.9,,0.8,,0.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.6,,0.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-27.9,,..,,..,,..,,..,,..,,..,,..,,..,,2.3,,1.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,57.1,,..,,..,,..,,"4,164",,"3,814",,"3,464",,"3,394",,"3,324",,"3,254",,..,,..,,..,,..,,..,,34.6,,31.7,,28.8,,28.2,,27.6,,27.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,..,,..,,0.4,,0.3,,0.3,,0.2,,0.1,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.7,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-36.8,,..,,..,,..,,..,,..,,..,,..,,..,,1.7,,2.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,37.6,,..,,..,,..,,"1,637",,"1,328",,"1,266",,"1,254",,"1,241",,"1,229",,..,,..,,..,,..,,..,,1.3,,1.0,,1.0,,1.0,,1.0,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,..,,..,,1.2,,2.3,,3.0,,2.5,,0.7,,0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.4,,1.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-42.8,,..,,..,,..,,..,,..,,..,,..,,..,,1.6,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,40.2,,..,,..,,..,,"15,186",,"13,137",,"11,089",,"10,679",,"10,270",,"9,860",,..,,..,,..,,..,,..,,16.7,,14.4,,12.2,,11.7,,11.3,,10.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,..,,..,,27.8,,31.7,,48.1,,31.6,,9.1,,10.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.7,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8.6,,..,,..,,..,,..,,..,,..,,..,,..,,4.2,,5.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,81.1,,..,,..,,..,,"9,216",,"9,301",,"9,683",,"9,759",,"9,836",,"9,912",,..,,..,,..,,..,,..,,30.3,,30.6,,31.8,,32.1,,32.3,,32.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.8,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,5.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupied Palestinian Territory,..,,..,,..,,0.9,,2.7,,2.8,,0.6,,0.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,9,,9,,9,,9,,9,,..,,..,,..,,..,,..,,1.5,,1.5,,1.5,,1.5,,1.5,,1.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,49.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,..,,..,,26.9,,33.7,,46.0,,59.6,,13.6,,16.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,108.7,,11.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,3.5,,5.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,45.9,,..,,..,,..,,2,,2,,2,,2,,2,,2,,..,,..,,..,,..,,..,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,f,..,,..,,..,,..,,..,,..,,..,,..,,..,,86.6,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,7.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
